Datetime,PM2_5,PM10,NO2,CO,O3
2026-02-23 06:30:00+00:00,158.0,309.0,108.476,1.969,14.4
2026-02-23 08:30:00+00:00,74.0,196.0,99.264,1.912,11.9
2026-02-23 10:30:00+00:00,42.0,190.0,89.112,1.798,16.4
2026-02-23 12:30:00+00:00,34.0,200.0,115.244,1.866,19.1
2026-02-23 14:30:00+00:00,89.0,384.0,152.092,2.862,18.8
2026-02-23 16:30:00+00:00,202.0,581.0,207.74,3.824,10.6
2026-02-23 18:15:00+00:00,202.0,615.0,213.756,4.82,8.4
2026-02-23 20:30:00+00:00,284.0,570.0,95.88,4.717,17.0
2026-02-23 22:30:00+00:00,249.0,480.0,68.808,4.305,14.9
2026-02-24 00:30:00+00:00,223.0,501.0,111.86,4.053,17.8
2026-02-24 02:45:00+00:00,248.0,542.0,141.94,4.076,20.9
2026-02-24 04:30:00+00:00,178.0,701.0,219.96,3.275,18.4
2026-02-24 06:30:00+00:00,91.0,197.0,89.112,2.061,24.8
2026-02-24 08:30:00+00:00,103.0,262.0,107.536,1.901,18.2
2026-02-24 10:30:00+00:00,57.0,230.0,84.976,1.706,14.3
